"id","rain_raw_reading","rain_resistance","rain_percentage","is_raining","soil_raw_reading","soil_resistance","soil_moist_percentage","is_soil_moist","created_at"
4660,"1","2","3",False,"5","6","7",False,"2023-02-02 03:35:19.569146+01"
4661,"1","2","3",False,"5","6","7",False,"2023-12-28 15:23:55.569146+01"
4662,"4095","40950000","0",False,"4095","40950000","0",False,"2019-07-22 12:28:54.569146+02"
4663,"4095","40950000","0",False,"4095","40950000","0",False,"2021-05-21 23:34:51.569146+02"
4664,"4095","40950000","0",False,"4095","40950000","0",False,"2023-11-13 12:16:21.569146+01"
4665,"4095","40950000","0",False,"4095","40950000","0",False,"2020-02-09 20:39:06.569146+01"
4666,"4095","40950000","0",False,"4095","40950000","0",False,"2023-02-14 18:32:10.569146+01"
4667,"4095","40950000","0",False,"4095","40950000","0",False,"2023-08-18 08:30:01.569146+02"
4668,"4095","40950000","0",False,"4095","40950000","0",False,"2023-11-19 06:50:02.569146+01"
4669,"4095","40950000","0",False,"4095","40950000","0",False,"2019-08-23 09:11:59.569146+02"
4670,"4095","40950000","0",False,"4095","40950000","0",False,"2021-03-23 14:52:29.569146+01"
4671,"4095","40950000","0",False,"4095","40950000","0",False,"2022-06-14 19:56:50.569146+02"
4672,"4095","40950000","0",False,"4095","40950000","0",False,"2020-10-19 02:48:19.569146+02"
4673,"4095","40950000","0",False,"4095","40950000","0",False,"2022-08-01 19:48:17.569146+02"
4674,"4095","40950000","0",False,"4095","40950000","0",False,"2022-08-22 04:17:43.569146+02"
4675,"4095","40950000","0",False,"4095","40950000","0",False,"2022-07-14 16:17:25.569146+02"
4676,"4095","40950000","0",False,"4095","40950000","0",False,"2019-01-11 13:40:27.569146+01"
4677,"4095","40950000","0",False,"4095","40950000","0",False,"2023-12-28 04:16:21.569146+01"
4678,"4095","40950000","0",False,"4095","40950000","0",False,"2019-08-04 06:06:39.569146+02"
4679,"4095","40950000","0",False,"4095","40950000","0",False,"2023-04-28 19:39:37.569146+02"
4680,"4095","40950000","0",False,"4095","40950000","0",False,"2019-07-21 13:15:35.569146+02"
4681,"4095","40950000","0",False,"4095","40950000","0",False,"2020-08-06 13:50:31.569146+02"
4682,"4095","40950000","0",False,"4095","40950000","0",False,"2023-01-25 22:40:30.569146+01"
4683,"4095","40950000","0",False,"4095","40950000","0",False,"2020-03-20 07:46:31.569146+01"
4684,"4095","40950000","0",False,"4095","40950000","0",False,"2022-03-16 13:53:30.569146+01"
4685,"4095","40950000","0",False,"4095","40950000","0",False,"2022-10-28 10:20:16.569146+02"
4686,"4095","40950000","0",False,"4095","40950000","0",False,"2023-09-16 04:21:18.569146+02"
4687,"4095","40950000","0",False,"4095","40950000","0",False,"2019-07-24 12:31:45.569146+02"
4688,"4095","40950000","0",False,"4095","40950000","0",False,"2019-01-08 19:24:42.569146+01"
4689,"4095","40950000","0",False,"4095","40950000","0",False,"2020-04-26 06:18:34.569146+02"
4690,"4095","40950000","0",False,"4095","40950000","0",False,"2022-09-13 15:49:52.569146+02"
4691,"4095","40950000","0",False,"4095","40950000","0",False,"2021-06-24 07:48:10.569146+02"
4692,"4095","40950000","0",False,"4095","40950000","0",False,"2020-01-25 04:18:36.569146+01"
4693,"4095","40950000","0",False,"4095","40950000","0",False,"2019-04-13 04:26:03.569146+02"
4694,"4095","40950000","0",False,"4095","40950000","0",False,"2021-05-20 04:39:41.569146+02"
4695,"4095","40950000","0",False,"4095","40950000","0",False,"2023-06-06 23:20:07.569146+02"
4696,"4095","40950000","0",False,"4095","40950000","0",False,"2020-08-09 06:43:24.569146+02"
4697,"4095","40950000","0",False,"4095","40950000","0",False,"2022-03-22 14:02:46.569146+01"
4698,"4095","40950000","0",False,"4095","40950000","0",False,"2019-10-08 20:23:25.569146+02"
4699,"4095","40950000","0",False,"4095","40950000","0",False,"2023-09-02 16:18:23.569146+02"
4700,"4095","40950000","0",False,"4095","40950000","0",False,"2022-04-07 18:37:21.569146+02"
4701,"4095","40950000","0",False,"4095","40950000","0",False,"2020-06-13 02:26:20.569146+02"
4702,"4095","40950000","0",False,"4095","40950000","0",False,"2022-03-19 13:40:44.569146+01"
4703,"4095","40950000","0",False,"4095","40950000","0",False,"2023-03-18 10:46:34.569146+01"
4704,"4095","40950000","0",False,"4095","40950000","0",False,"2020-02-12 06:49:11.569146+01"
4705,"4095","40950000","0",False,"4095","40950000","0",False,"2020-06-14 11:29:03.569146+02"
4706,"4095","40950000","0",False,"4095","40950000","0",False,"2022-12-23 01:16:25.569146+01"
4707,"4095","40950000","0",False,"4095","40950000","0",False,"2023-04-20 22:58:33.569146+02"
4708,"4095","40950000","0",False,"4095","40950000","0",False,"2021-08-06 13:49:35.569146+02"
4709,"4095","40950000","0",False,"4095","40950000","0",False,"2019-10-25 21:39:58.569146+02"
4710,"4095","40950000","0",False,"4095","40950000","0",False,"2021-03-26 18:44:37.569146+01"
4711,"4095","40950000","0",False,"4095","40950000","0",False,"2020-10-17 12:17:30.569146+02"
4712,"4095","40950000","0",False,"4095","40950000","0",False,"2022-01-14 12:32:30.569146+01"
4713,"4095","40950000","0",False,"4095","40950000","0",False,"2020-11-18 11:31:31.569146+01"
4714,"4095","40950000","0",False,"4095","40950000","0",False,"2023-03-26 03:05:11.569146+02"
4715,"4095","40950000","0",False,"4095","40950000","0",False,"2023-07-25 14:54:48.569146+02"
4716,"4095","40950000","0",False,"4095","40950000","0",False,"2019-08-14 04:22:58.569146+02"
4717,"4095","40950000","0",False,"4095","40950000","0",False,"2020-09-13 04:58:48.569146+02"
4718,"4095","40950000","0",False,"4095","40950000","0",False,"2020-11-13 02:44:56.569146+01"
4719,"4095","40950000","0",False,"4095","40950000","0",False,"2022-04-06 09:58:04.569146+02"
4720,"4095","40950000","0",False,"4095","40950000","0",False,"2021-05-24 01:11:52.569146+02"
